,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,ervid
5803,36.36311385,0.091100156,0.302578494,0.301079415,0.763353938,NA,5803
5804,963.124532,0.351637709,0.203365228,1.729094564,0.083792172,0.273933249,5804
5807,5.548175726,-0.079560699,0.362229256,-0.219641836,0.826150107,NA,5807
5808,7.273175309,-0.434002491,0.351236341,-1.235642329,0.216591543,NA,5808
5811,2.620392487,-0.502397442,0.444542259,-1.130145519,0.258414912,NA,5811
5812,1.674048273,-0.545889162,0.578060356,-0.944346307,0.34499271,NA,5812
5814,87.56882489,0.171154988,0.220484162,0.776268854,0.437590259,NA,5814
5815,24.50578507,0.111993753,0.214727839,0.521561403,0.601975743,NA,5815
5816,30.80038239,0.080946966,0.189796267,0.426493983,0.669747931,NA,5816
5818,4.828408031,0.05926362,0.339203311,0.174714155,0.861304245,NA,5818
K-31,4.445202291,0.107676498,0.39020453,0.275948866,0.782587341,NA,K-31
K-32,5.181639403,0.140503027,0.332741187,0.422259199,0.672835836,NA,K-32
5829,13.04159434,-0.096497611,0.265389086,-0.363608061,0.716150707,NA,5829
5830,26.16970848,0.072960226,0.222741585,0.327555478,0.743247789,NA,5830
5833,830.6423969,0.126144556,0.092872914,1.358249145,0.174384641,0.376895643,5833
5835,144.9916241,-0.090775679,0.200297839,-0.453203488,0.650402221,0.829914789,5835
5836,14.20528123,-0.255424119,0.239892554,-1.064743839,0.286991866,NA,5836
5837,12.32450594,-0.3069733,0.237887611,-1.290413143,0.196907251,NA,5837
5839,11.48582505,-0.28303832,0.252343551,-1.121638811,0.262016043,NA,5839
5838,11.3814862,-0.430494474,0.247003852,-1.742865425,0.081357125,NA,5838
5840,44.60508928,0.232277885,0.264423622,0.87843092,0.379709911,NA,5840
5841,36.36618328,-0.249113072,0.217343683,-1.146171213,0.251724317,NA,5841
5842,22.86387647,-0.095184558,0.188161251,-0.505866952,0.612950054,NA,5842
5843,646.7529172,0.508877614,0.240848013,2.112857849,0.034612937,0.168116081,5843
5846,3.234355061,0.07536723,0.472473508,0.159516308,0.873262111,NA,5846
5847,6.453515078,-0.215270201,0.465599453,-0.462350632,0.643829896,NA,5847
5848,25.80889717,-0.197340105,0.202162181,-0.97614749,0.32899138,NA,5848
5850,68.22561014,-0.113154288,0.135867733,-0.832826791,0.404942423,NA,5850
5852,25.36733555,-0.096341454,0.229010969,-0.420684888,0.673985198,NA,5852
5855,28.25830084,-0.366875738,0.459036061,-0.799230755,0.424156622,NA,5855
5856,29.12981035,0.203119104,0.273282916,0.743255769,0.457326845,NA,5856
5858,73.90480986,0.315978861,0.237785717,1.32883869,0.183901195,NA,5858
5860,102.3150798,0.002671458,0.157220446,0.016991798,0.986443159,NA,5860
5861,881.0011689,0.022180888,0.070637514,0.31401004,0.753513414,0.898173996,5861
5862,49.27951599,-0.199805685,0.242176801,-0.825040569,0.409348559,NA,5862
5863,67.54357563,0.097128973,0.243750391,0.3984772,0.690278462,NA,5863
5867,462.7829634,0.364118435,0.109437434,3.327183585,0.000877286,0.045618849,5867
5870,28.2772263,-0.483437531,0.250879786,-1.926968841,0.053983513,NA,5870
5871,174.1093617,0.02494316,0.155032608,0.160889764,0.872180225,0.94358175,5871
5872,106.1922712,-0.064534145,0.147561857,-0.437336222,0.66186753,NA,5872
5874,30.53108999,-0.213895525,0.209339285,-1.021764859,0.306892205,NA,5874
5875,26.16480967,0.261391496,0.222518097,1.174697698,0.240115681,NA,5875
5876,319.0636831,0.225038589,0.146761133,1.533366389,0.125185605,0.321780644,5876
5878,22.10503082,0.542905382,0.366997119,1.479317832,0.139055389,NA,5878
5881,87.15254905,-0.718498978,0.30081049,-2.388543624,0.0169153,NA,5881
5882,64.45177693,-0.427313428,0.249619888,-1.711856503,0.086923116,NA,5882
5883,769.5579456,0.203799707,0.169093069,1.205251684,0.228106155,0.445184551,5883
5884,395.4252129,-0.395264324,0.221436761,-1.784998666,0.074261533,0.261803371,5884
W-70,46.11656013,-0.03716137,0.176888004,-0.210084171,0.83360198,NA,W-70
5889,389.7530759,-0.017135919,0.103632545,-0.165352683,0.868666394,0.94358175,5889
5890,8.196890157,0.010266522,0.231833919,0.044283952,0.964678063,NA,5890
5891,9.804784455,-0.071629086,0.274492903,-0.260950592,0.794130609,NA,5891
5892,3384.44422,-0.307253177,0.207348825,-1.48181779,0.138388784,0.327100763,5892
